gvkey,iid,datadate,prccd,cshtrd,daily_return
25434,1,2018-01-02,57.63,7206985.0,
25434,1,2018-01-03,58.71,7464021.0,0.01874023945861536
25434,1,2018-01-04,58.93,5769653.0,0.0037472321580649393
25434,1,2018-01-05,59.61,6046984.0,0.011539114203292122
25434,1,2018-01-08,59.31,6302806.0,-0.0050327126321086935
25434,1,2018-01-09,59.18,5223952.0,-0.002191873208565176
25434,1,2018-01-10,59.82,8652883.0,0.010814464346062813
25434,1,2018-01-11,60.0,5804917.0,0.0030090270812437314
25434,1,2018-01-12,60.4,6980995.0,0.006666666666666599
25434,1,2018-01-16,60.56,7964914.0,0.0026490066225166586
25434,1,2018-01-17,60.66,8417163.0,0.0016512549537648358
25434,1,2018-01-18,61.09,9170630.0,0.007088691064952357
25434,1,2018-01-19,61.26,8252894.0,0.002782779505647426
25434,1,2018-01-22,61.41,11906060.0,0.0024485798237021683
25434,1,2018-01-23,61.69,10676820.0,0.004559517993812046
25434,1,2018-01-24,60.83,11920340.0,-0.013940671097422586
25434,1,2018-01-25,60.55,15440080.0,-0.004602991944764101
25434,1,2018-01-26,57.99,51813450.0,-0.042279108175061864
25434,1,2018-01-29,57.02,18879950.0,-0.0167270219003276
25434,1,2018-01-30,57.19,14321670.0,0.0029814100315677106
25434,1,2018-01-31,56.81,13101120.0,-0.006644518272425182
25434,1,2018-02-01,56.0,14682600.0,-0.014258053159655004
25434,1,2018-02-02,55.77,15318950.0,-0.004107142857142754
25434,1,2018-02-05,54.69,15935140.0,-0.019365250134480982
25434,1,2018-02-06,55.61,17413780.0,0.016822088133114033
25434,1,2018-02-07,54.46,13865850.0,-0.02067973386081634
25434,1,2018-02-08,53.77,17716910.0,-0.012669849430774871
25434,1,2018-02-09,54.58,19379540.0,0.015064162172214957
25434,1,2018-02-12,55.38,10964540.0,0.014657383657017409
25434,1,2018-02-13,55.67,10339800.0,0.005236547490068633
25434,1,2018-02-14,55.99,14167820.0,0.005748158792886704
25434,1,2018-02-15,56.58,10279180.0,0.010537595999285498
25434,1,2018-02-16,56.48,10150570.0,-0.0017674089784376346
25434,1,2018-02-20,55.97,9385547.0,-0.009029745042492876
25434,1,2018-02-21,56.1,7843512.0,0.0023226728604610614
25434,1,2018-02-22,55.4,10147720.0,-0.012477718360071388
25434,1,2018-02-23,56.14,11326680.0,0.013357400722021628
25434,1,2018-02-26,57.17,8676550.0,0.01834698966868542
25434,1,2018-02-27,56.57,8821186.0,-0.010495014867937802
25434,1,2018-02-28,57.1,11516510.0,0.009368923457663048
25434,1,2018-03-01,56.17,11099290.0,-0.016287215411558642
25434,1,2018-03-02,56.93,11394390.0,0.013530354281644952
25434,1,2018-03-05,56.99,6922988.0,0.0010539258738802015
25434,1,2018-03-06,57.03,7975574.0,0.000701877522372385
25434,1,2018-03-07,57.03,7042394.0,0.0
25434,1,2018-03-08,57.47,7602792.0,0.007715237594248636
25434,1,2018-03-09,58.46,9538814.0,0.01722637898033752
