gvkey,iid,datadate,prccd,cshtrd
025434,01,2018-01-02,57.63,7206985.0
025434,01,2018-01-03,58.71,7464021.0
025434,01,2018-01-04,58.93,5769653.0
025434,01,2018-01-05,59.61,6046984.0
025434,01,2018-01-08,59.31,6302806.0
025434,01,2018-01-09,59.18,5223952.0
025434,01,2018-01-10,59.82,8652883.0
025434,01,2018-01-11,60.0,5804917.0
025434,01,2018-01-12,60.4,6980995.0
025434,01,2018-01-16,60.56,7964914.0
025434,01,2018-01-17,60.66,8417163.0
025434,01,2018-01-18,61.09,9170630.0
025434,01,2018-01-19,61.26,8252894.0
025434,01,2018-01-22,61.41,11906060.0
025434,01,2018-01-23,61.69,10676820.0
025434,01,2018-01-24,60.83,11920340.0
025434,01,2018-01-25,60.55,15440080.0
025434,01,2018-01-26,57.99,51813450.0
025434,01,2018-01-29,57.02,18879950.0
025434,01,2018-01-30,57.19,14321670.0
025434,01,2018-01-31,56.81,13101120.0
025434,01,2018-02-01,56.0,14682600.0
025434,01,2018-02-02,55.77,15318950.0
025434,01,2018-02-05,54.69,15935140.0
025434,01,2018-02-06,55.61,17413780.0
025434,01,2018-02-07,54.46,13865850.0
025434,01,2018-02-08,53.77,17716910.0
025434,01,2018-02-09,54.58,19379540.0
025434,01,2018-02-12,55.38,10964540.0
025434,01,2018-02-13,55.67,10339800.0
025434,01,2018-02-14,55.99,14167820.0
025434,01,2018-02-15,56.58,10279180.0
025434,01,2018-02-16,56.48,10150570.0
025434,01,2018-02-20,55.97,9385547.0
025434,01,2018-02-21,56.1,7843512.0
025434,01,2018-02-22,55.4,10147720.0
025434,01,2018-02-23,56.14,11326680.0
025434,01,2018-02-26,57.17,8676550.0
025434,01,2018-02-27,56.57,8821186.0
025434,01,2018-02-28,57.1,11516510.0
025434,01,2018-03-01,56.17,11099290.0
025434,01,2018-03-02,56.93,11394390.0
025434,01,2018-03-05,56.99,6922988.0
025434,01,2018-03-06,57.03,7975574.0
025434,01,2018-03-07,57.03,7042394.0
025434,01,2018-03-08,57.47,7602792.0
025434,01,2018-03-09,58.46,9538814.0
025434,01,2018-03-12,59.4,10548660.0
025434,01,2018-03-13,59.05,10398030.0
025434,01,2018-03-14,58.83,6484199.0
025434,01,2018-03-15,59.37,7362587.0
025434,01,2018-03-16,59.0,12581120.0
025434,01,2018-03-19,58.3,8799524.0
025434,01,2018-03-20,58.66,5861507.0
025434,01,2018-03-21,58.47,6568790.0
025434,01,2018-03-22,57.77,6806785.0
025434,01,2018-03-23,56.31,9462861.0
025434,01,2018-03-26,57.8,8439057.0
025434,01,2018-03-27,57.46,7473294.0
025434,01,2018-03-28,57.9,9238795.0
025434,01,2018-03-29,57.89,11999600.0
025434,01,2018-04-02,56.24,16733260.0
025434,01,2018-04-03,58.0,10894760.0
025434,01,2018-04-04,58.83,7891234.0
025434,01,2018-04-05,59.14,6279071.0
025434,01,2018-04-06,58.34,8258422.0
025434,01,2018-04-09,58.7,8023309.0
025434,01,2018-04-10,59.41,6546109.0
025434,01,2018-04-11,59.42,5387146.0
025434,01,2018-04-12,59.43,6063514.0
025434,01,2018-04-13,59.24,6412343.0
025434,01,2018-04-16,59.43,6117461.0
025434,01,2018-04-17,59.83,6126851.0
025434,01,2018-04-18,59.5,5907794.0
025434,01,2018-04-19,59.22,6249694.0
025434,01,2018-04-20,58.0,11930050.0
025434,01,2018-04-23,58.16,8334186.0
