gvkey,iid,datadate,tic,cusip,conm,ajexm,ajpm,isalrt,primiss,cheqvm,curcddvm,dvpspm,dvpsxm,dvrate,csfsm,cshtrm,curcdm,navm,prccm,prchm,prclm,trfm,trt1m,rawpm,rawxm,sph100,sphcusip,sphiid,sphmid,sphname,sphsec,sphtic,sphvg,cshoq,adrrm,cmth,cshom,cyear,mkvalincl,exchg,secstat,tpci,cik,fic
025434,01,2018-01-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.2,,241318287.0,USD,,56.81,61.94,56.55,1.1229,-1.0796,,,,,,,,,,,,,1,1405314000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-02-28,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.3,0.3,1.2,,237932385.0,USD,,57.1,57.92,53.56,1.1288,1.0385,,,,,,,,,,,,,2,1405600000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-03-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.2,,183601051.0,USD,,57.89,60.7,55.6805,1.1288,1.3835,,,,,,,,,,,1382.4,,3,1405600000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-04-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.2,,177444481.0,USD,,57.57,60.18,55.38,1.1288,-0.5528,,,,,,,,,,,,,4,1405600000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-05-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.3,0.3,1.2,,150109473.0,USD,,56.67,59.04,55.54,1.1347,-1.0422,,,,,,,,,,,,,5,1380000000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-06-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.2,,337144236.0,USD,,48.85,57.94,47.37,1.1347,-13.7992,,,,,,,,,,,1366.3,,6,1380000000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-07-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.2,,244149158.0,USD,,52.39,52.845,48.4,1.1347,7.2467,,,,,,,,,,,,,7,1380000000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-08-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.36,0.36,1.44,,196833835.0,USD,,53.45,54.44,51.195,1.1424,2.7104,,,,,,,,,,,,,8,1349100000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-09-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,176251383.0,USD,,56.84,57.84,53.2148,1.1424,6.3424,,,,,,,,,,,1309.1,,9,1349100000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-10-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,284904246.0,USD,,58.27,59.7,54.705,1.1424,2.5158,,,,,,,,,,,,,10,1349100000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-11-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.36,0.36,1.44,,325880692.0,USD,,66.72,68.98,58.07,1.1485,15.1193,,,,,,,,,,,,,11,1240600000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2018-12-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,248893201.0,USD,,64.4,68.15,60.42,1.1485,-3.4772,,,,,,,,,,,1243.3,,12,1240600000.0,2018,Y,14,A,0,0000829224,USA
025434,01,2019-01-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,275647701.0,USD,,68.14,69.49,61.395,1.1485,5.8075,,,,,,,,,,,,,1,1243600000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-02-28,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.36,0.36,1.44,,209649590.0,USD,,70.26,72.07,67.08,1.1544,3.6396,,,,,,,,,,,,,2,1243600000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-03-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,188762670.0,USD,,74.34,74.4801,69.03,1.1544,5.807,,,,,,,,,,,1210.0,,3,1243600000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-04-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,143969332.0,USD,,77.68,77.79,73.73,1.1544,4.4929,,,,,,,,,,,,,4,1243600000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-05-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.36,0.36,1.44,,168713224.0,USD,,76.06,79.6501,74.33,1.1599,-1.622,,,,,,,,,,,,,5,1211200000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-06-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,162994713.0,USD,,83.83,85.2,75.65,1.1599,10.2156,,,,,,,,,,,1206.5,,6,1211200000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-07-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,165435996.0,USD,,94.69,99.72,84.03,1.1599,12.9548,,,,,,,,,,,,,7,1197000000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-08-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.36,0.36,1.44,,141463379.0,USD,,96.56,98.14,93.03,1.1642,2.3551,,,,,,,,,,,,,8,1197000000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-09-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,136226660.0,USD,,88.42,97.21,87.61,1.1642,-8.43,,,,,,,,,,,1184.6,,9,1197000000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-10-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.44,,139142474.0,USD,,84.56,88.894,82.1262,1.1642,-4.3655,,,,,,,,,,,,,10,1184600000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-11-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.41,0.41,1.64,,138625020.0,USD,,85.43,86.73,81.0301,1.1698,1.5137,,,,,,,,,,,,,11,1181000000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2019-12-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,132528139.0,USD,,87.92,89.3,83.82,1.1698,2.9147,,,,,,,,,,,1174.5,,12,1181000000.0,2019,Y,14,A,0,0000829224,USA
025434,01,2020-01-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,169728433.0,USD,,84.83,94.13,84.52,1.1698,-3.5146,,,,,,,,,,,,,1,1173700000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-02-29,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.41,0.41,1.64,,167093872.0,USD,,78.43,90.505,75.72,1.1759,-7.0612,,,,,,,,,,,,,2,1173700000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-03-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,444171650.0,USD,,65.74,82.615,50.02,1.1759,-16.18,,,,,,,,,,,1168.1,,3,1173700000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-04-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,282022382.0,USD,,76.73,79.61,60.9,1.1759,16.7174,,,,,,,,,,,,,4,1168100000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-05-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.41,0.41,1.64,,201358816.0,USD,,77.99,80.06,70.65,1.1821,2.1765,,,,,,,,,,,,,5,1168100000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-06-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,257823787.0,USD,,73.59,83.62,71.06,1.1821,-5.6417,,,,,,,,,,,1168.9,,6,1168100000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-07-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,184879869.0,USD,,76.53,78.49,71.815,1.1821,3.9951,,,,,,,,,,,,,7,1169000000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-08-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.41,0.41,1.64,,155675686.0,USD,,84.47,85.36,74.76,1.1878,10.9108,,,,,,,,,,,,,8,1169000000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-09-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,160998429.0,USD,,85.92,89.43,81.75,1.1878,1.7166,,,,,,,,,,,1173.3,,9,1169000000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-10-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.64,,144682940.0,USD,,86.96,91.13,85.09,1.1878,1.2104,,,,,,,,,,,,,10,1169000000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-11-30,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.45,0.45,1.8,,142115525.0,USD,,98.02,99.3264,85.45,1.1933,13.236,,,,,,,,,,,,,11,1173700000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2020-12-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.8,,120639154.0,USD,,106.98,107.14,98.2133,1.1933,9.141,,,,,,,,,,,1177.2,,12,1173700000.0,2020,Y,14,A,0,0000829224,USA
025434,01,2021-01-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,,1.8,,123452398.0,USD,,96.81,107.75,95.92,1.1933,-9.5064,,,,,,,,,,,,,1,1177300000.0,2021,Y,14,A,0,0000829224,USA
025434,01,2021-02-28,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,,0.45,1.8,,115368715.0,USD,,108.03,109.48,96.92,1.1983,12.0545,,,,,,,,,,,,,2,1177300000.0,2021,Y,14,A,0,0000829224,USA
025434,01,2021-03-31,SBUX,855244109,STARBUCKS CORP,1.0,1.0,,P,,USD,0.45,,1.8,,161295140.0,USD,,109.27,112.34,102.75,1.1983,1.1478,,,,,,,,,,,1177.9,,3,1177300000.0,2021,Y,14,A,0,0000829224,USA
